college_id,college_name,matched_wikipedia_title,name_similarity,wikipedia_url,image_url,image_filename,image_width,image_height,license,candidate_2_url,candidate_2_filename,candidate_3_url,candidate_3_filename
aishe_10,"Dravidian University, Kuppam, Chittoor District",Chittoor district,0.531,https://en.wikipedia.org/wiki/Chittoor_district,https://upload.wikimedia.org/wikipedia/commons/7/71/Galipgopuram_of_Kanipakam_temple_%28May_2019%29_8.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Galipgopuram of Kanipakam temple (May 2019) 8.jpg,6000,4000,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/c/c7/Andhra_Pradesh_-_Landscapes_from_Andhra_Pradesh%2C_views_from_Indias_South_Central_Railway_%2877%29.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"File:Andhra Pradesh - Landscapes from Andhra Pradesh, views from Indias South Central Railway (77).JPG",https://upload.wikimedia.org/wikipedia/commons/b/b8/Chittoor.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Chittoor.png
aishe_10007,BASAVESHWARA SCIENCE COLLEGE BAGALKOT,Bagalkot district,0.296,https://en.wikipedia.org/wiki/Bagalkot_district,https://upload.wikimedia.org/wikipedia/commons/c/c9/Pattadakal_-_Sangameshwara_Temple_2.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Pattadakal - Sangameshwara Temple 2.jpg,5152,3864,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/b/bc/Meguti_megalith_20210403.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Meguti megalith 20210403.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Durga_temple_Aihole_2.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Durga temple Aihole 2.jpg
aishe_1001,JAT COLLEGE OF POLYTECHNIC,Morkheri,0.176,https://en.wikipedia.org/wiki/Morkheri,https://upload.wikimedia.org/wikipedia/commons/e/e9/Haryana.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Haryana.png,746,807,Public domain,,,,
aishe_10016,"BLDEA'S NEW ARTS COLLEGE, TIKOTA","Bijapur district, Karnataka",0.271,https://en.wikipedia.org/wiki/Bijapur_district%2C_Karnataka,https://upload.wikimedia.org/wikipedia/commons/b/b7/ChandBibiHawking.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:ChandBibiHawking.png,2998,4000,Public domain,https://upload.wikimedia.org/wikipedia/commons/1/15/BarakamanDSC03712.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:BarakamanDSC03712.JPG,https://upload.wikimedia.org/wikipedia/commons/a/af/Asar_mahal_01.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Asar mahal 01.jpg
aishe_1001_jat-college-of-polytechnic-kaithal,JAT COLLEGE OF POLYTECHNIC,Morkheri,0.176,https://en.wikipedia.org/wiki/Morkheri,https://upload.wikimedia.org/wikipedia/commons/e/e9/Haryana.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Haryana.png,746,807,Public domain,,,,
aishe_10022,"KLES R.L. SCIENCE INSTITUTE , BELGAUM",List of engineering colleges affiliated to Visvesvaraya Technological University,0.171,https://en.wikipedia.org/wiki/List_of_engineering_colleges_affiliated_to_Visvesvaraya_Technological_University,https://upload.wikimedia.org/wikipedia/commons/c/cd/MSRIT_ESB_041.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:MSRIT ESB 041.jpg,2080,1544,CC BY-SA 3.0,,,,
aishe_10023,"BLDEAS J S S COLLEGE OF EDU., BIJAPUR",Bijapur,0.318,https://en.wikipedia.org/wiki/Bijapur,https://upload.wikimedia.org/wikipedia/commons/2/2a/Hampi%2C_Hazara_Rama_Temple_2%2C_India.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"File:Hampi, Hazara Rama Temple 2, India.jpg",4032,2688,CC BY 4.0,https://upload.wikimedia.org/wikipedia/commons/b/ba/Plan_of_Bijapur_India_1911.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Plan of Bijapur India 1911.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Ibrahim_Rauza%2C_Bijapur%2C_Karnataka.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"File:Ibrahim Rauza, Bijapur, Karnataka.jpg"
aishe_10025,"T.S.P.S.M.S.C.M. MANAGULI ARTS COLLEGE, SINDAGI","Bijapur district, Karnataka",0.216,https://en.wikipedia.org/wiki/Bijapur_district%2C_Karnataka,https://upload.wikimedia.org/wikipedia/commons/b/b7/ChandBibiHawking.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:ChandBibiHawking.png,2998,4000,Public domain,https://upload.wikimedia.org/wikipedia/commons/1/15/BarakamanDSC03712.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:BarakamanDSC03712.JPG,https://upload.wikimedia.org/wikipedia/commons/a/af/Asar_mahal_01.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Asar mahal 01.jpg
aishe_10026,"S P M S EDUCATION COLLEGE, HARUGERI",Belagavi district,0.154,https://en.wikipedia.org/wiki/Belagavi_district,https://upload.wikimedia.org/wikipedia/commons/7/74/Kamala_Narayana_Temple_25.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Kamala Narayana Temple 25.jpg,4608,3456,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/6/66/Kamal_Basti%2C_Belgaum.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"File:Kamal Basti, Belgaum.jpg",https://upload.wikimedia.org/wikipedia/commons/b/be/Navila_Teertha%2C_Savadatti_21.11.2008.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"File:Navila Teertha, Savadatti 21.11.2008.jpg"
aishe_10040,"M M ARTS, COMMERCE, SCIENCE & HOME SCIENCE COLLEGE, BELAGAVI (PG)","Bijapur district, Karnataka",0.152,https://en.wikipedia.org/wiki/Bijapur_district%2C_Karnataka,https://upload.wikimedia.org/wikipedia/commons/b/b7/ChandBibiHawking.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:ChandBibiHawking.png,2998,4000,Public domain,https://upload.wikimedia.org/wikipedia/commons/1/15/BarakamanDSC03712.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:BarakamanDSC03712.JPG,https://upload.wikimedia.org/wikipedia/commons/a/af/Asar_mahal_01.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,File:Asar mahal 01.jpg
