aisheId,name,city,district,state,address,pin_code,type,category,courses,id
34332,"Adarsh Computer Science And Management Science College, Jafrabad.",0,Jalna,Maharashtra,"0, 0, 0, 431206",,private,Science,B.Sc,aishe_34332
11210,"Kai.shri.y.d.patil Arts, Commerce & Science College, Gaganbavada,",0,Kolhapur,Maharashtra,"A/P : Yavaluj, Tal : Panhala, 0, 0, 416205",,private,Commerce,B.Com,aishe_11210
41802,"Karmaveer Kakasaheb Wagh Education Societys Arts, Commerce, Science & Computer Science College, Hirabai Haridas Vidyanagari, Adgaon Road, Panchvati, Nashik 422003",0,Nashik,Maharashtra,"0, 0, 0, 422003",,private,Commerce,B.Com,aishe_41802
34662,"Marathwada Shikshan Prasarak Mandal's Swami Vivekanand Arts, Science & Commerce College, Parli Vaijanath.",0,Bid,Maharashtra,"Nehru chouk talvibhag parlivaijnath, 0, 0, 431515",,private,Commerce,B.Com,aishe_34662
2077,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC GADHINGAJ KOLHAPUR,0,Kolhapur,Maharashtra,"Site Chinchewadi, Gadhinglaj-Halkarni Road,Tal Gadhinglaj, Dist Kolhapur, 0, 0, 416503",,private,Polytechnic,B.Tech,aishe_2077
7621,"Vivek Vardhini Mahila Adhyapak Mahavidyalaya, Visava Nagar, Nanded",0,Nanded,Maharashtra,"0, 0, 0, 431602",,private,General,BA;B.Sc;B.Com,aishe_7621
11192,"Chandrabai Shantappa Shendure College, Hupari",1 Hector 20 R 20 R,Kolhapur,Maharashtra,"Tal-Hatkanangale ,Dist-Kolhapur,Hupari., Tal-Hatkanangale ,Dist-Kolhapur,Hupari ., 1 Hector 20 R 20 R, 415203",,private,General,BA;B.Sc;B.Com,aishe_11192
15751,RAJARAM BHOSALE EDUCATION COLLEGE KAROLE TAL PANDHARPUR DIST-SOLAPUR,A/p-karole,Solapur,Maharashtra,"A/P-KAROLE TAL-PANDHARPUR DIST-SOLAPUR, AA/P-KAROLE TAL-PANDHARPUR DIST-SOLAPUR, A/p-karole, 413112",,private,General,BA;B.Sc;B.Com,aishe_15751
9142,CHAITAINYA BHAHUUDDESHYA SHIKSHAN PRASARAK MANDAL TAL. SHIROL KOLHAPUR,Abdul Lat,Kolhapur,Maharashtra,"ABDUL LAT, ABDUL LAT, Abdul Lat, 416143",,private,General,BA;B.Sc;B.Com,aishe_9142
41433,"Dand Seva Mandals College Of Arts, Abone, Tal.kalwan, Dist.nashik 423503",Abhone,Nashik,Maharashtra,"At-Post-Abhone, Tal-Kalwan, Abhone, 423502",,private,Arts,BA,aishe_41433
9835,SAMARTHA INSTITUTE OF EDUCATION ACHALPUR CITY AMRAVATI,Achalpur Camp,Amravati,Maharashtra,"C.M.KADHI EDUCATION COMPLEX TIMBER DEPOT ROAD, ACHALPUR CAMP PARATWADA, Achalpur Camp, 444805",,private,General,BA;B.Sc;B.Com,aishe_9835
42838,"Jagadamba Mahvidyalaya , Achalpur City",Achalpure,Amravati,Maharashtra,"Mehrabpura, Achalpur, Achalpure, 444806",,private,MBA,MBA;BBA,aishe_42838
33718,"The Achara Peoples Association, Achara College Of Management Studies Achara Tal Malvan Dist Sindhudurg",Achara,Sindhudurg,Maharashtra,"AT/POST ACHARA, TAL. MALVAN, Achara, 416614",,private,MBA,MBA;BBA,aishe_33718
34545,"Shri. Chhatrapati Shivaji Sanstha's Arts College, Adas.",Adas,Bid,Maharashtra,"At. Post Adas Tq. Kaij Dist. Beed-, adas tq kaij dist beed, Adas, 431517",,private,Arts,BA,aishe_34545
13736,"Ndmvpss College Of Physiotherapy, Nashik.",Adgaon,Nashik,Maharashtra,"Vasantdada Nagar, NA, Adgaon, 422003",,private,General,BA;B.Sc;B.Com,aishe_13736
18457,"Bhagwantrao Education College, Aheri",Aheri,Gadchiroli,Maharashtra,"Tahasil Office Road Aheri, At. Po. Ta. Aheri, Aheri, 442705",,private,General,BA;B.Sc;B.Com,aishe_18457
9180,DHARMRAO SHIKSHAN MANDALS RAJE DHARMRAO JR. COLLEGE OF EDUCATION AHERI GADCHIROLI,Aheri,Gadchiroli,Maharashtra,"AT. PO. AHERI, AT. PO. AHERI, Aheri, 442705",,private,General,BA;B.Sc;B.Com,aishe_9180
46507,LAT LAXMIBAI ARTS SCIENCE AND COMMERCE WOMEN COLLEGE ALAPALLI,Aheri,Gadchiroli,Maharashtra,"AT-POST-ALLAPALLI, TAH-AHERI, Aheri, 442703",,private,Commerce,B.Com,aishe_46507
18510,"Raje Dharmarao Science College, Aheri",Aheri,Gadchiroli,Maharashtra,"AT.PO.TA.AHERI DIST-GADCHIROLI, AT.PO.TA.AHERI DIST-GADCHIROLI, Aheri, 442705",,private,Science,B.Sc,aishe_18510
18970,"S.b. Arts Commerce College, Aheri",Aheri,Gadchiroli,Maharashtra,"ALAPALLI ROAD AHERI, AT.PO.TA.AHERI, Aheri, 442705",,private,Commerce,B.Com,aishe_18970
47317,"VIDHYABHARTI COLLEGE OF ADVANCE STUDIES, AHERI",Aheri,Gadchiroli,Maharashtra,"Police Station Road,, At. Post. Ta. Aheri, Aheri, 442705",,private,General,BA;B.Sc;B.Com,aishe_47317
9070,ANNASAHEB H. GHADGE PATIL RURAL DED COLLEGE SHEVGAON AHMEDNAGAR,Ahmadnagar,Ahmadnagar,Maharashtra,"Dhorjalgaon,tal-shevgaon,dist-ahmednagar, NA, Ahmadnagar, 414501",,private,General,BA;B.Sc;B.Com,aishe_9070
13832,"Pad. Dr. V.v. Patil Foundations Medical College, Ahmednagar.",Ahmadnagar,Ahmadnagar,Maharashtra,"Opp. Govt Milk Dairy,Vadgaon Gupta, MIDC, Ahmadnagar, 414111",,private,Medical,MBBS;BDS,aishe_13832
44342,Pravara Rural Education Soceity's,Ahmadnagar,Ahmadnagar,Maharashtra,"Women's College of Home Science and BCA, Loni,Tal-Rahata, Ahmadnagar, 413713",,private,General,BA;B.Sc;B.Com,aishe_44342
41970,"Pravara Rural Education Societys Arts Science & Commerce College, Satral, Tal.rahuri, Dist.ahmednagar",Ahmadnagar,Ahmadnagar,Maharashtra,"Pravara Rural Education Society Arts Science &Commerce College Satral Tal- Rahuri Dist Ahemednagar, NA, Ahmadnagar, 413711",,private,Commerce,B.Com,aishe_41970
41493,"A.j.m.v.p.hutatma Karveer Chhatrapati Chouthe Shivaji Maharaj Institute Of Management, Research And Rural Development, Opp. Law College, Lal Taki Road, Ahmednagar 414001",Ahmednagar,Ahmadnagar,Maharashtra,"New Arts College Campus, Lal Taki Road, Ahmednagar, Ahmednagar, Ahmednagar, 414001",,private,Law,LLB,aishe_41493
45862,"Adsuls Technical Campus Faculty Of Engineering & Mba, Chas, Ahmednagar",Ahmednagar,Ahmadnagar,Maharashtra,"AT POST CHAS TALUKA NAGAR DIST AHMEDNAGAR, AT POST CHAS TALUKA NAGAR DIST AHMEDNAGAR, Ahmednagar, 414005",,private,Engineering,B.Tech;B.E.;M.Tech,aishe_45862
9044,AHMEDNAGAR EDUCATION SOCIETY JR. COLLEGE OF EDUCATION AHMEDNAGAR SATBHAI MALA AHMEDNAGAR,Ahmednagar,Ahmadnagar,Maharashtra,"Satbhaimala, Dehligate, Ahmednagar., Satbhaimala, Dehligate, Ahmednagar., Ahmednagar, 414001",,private,General,BA;B.Sc;B.Com,aishe_9044
13958,"Ahmednagar Homoeopathy College, Ahmednagar",Ahmednagar,Ahmadnagar,Maharashtra,"Savedi Road, Ahmednagar, Ahmednagar, 414003",,private,Medical,MBBS;BDS,aishe_13958
42126,"Ahmednagar Jilha Maratha Vidya Prasarak Samaj's Ahmednagar Shri.chhatrapati Shivaji Maharaj College Of Engineering, Nepti, Address: Nepti Nagar Kalyan Road, Ahmednagar, Taluka: Ahmednagar, District: Ahmednagar",Ahmednagar,Ahmadnagar,Maharashtra,"Survey No.162 & 163 Nepti,, Nagar Kalyan Road, Ahmednagar, Ahmednagar, 414005",,private,Engineering,B.Tech;B.E.;M.Tech,aishe_42126
41908,"Ahmednagar Jilha Maratha Vidya Prasarak Samaj's New Arts,commerce & Science College, Ahmednagar 414001",Ahmednagar,Ahmadnagar,Maharashtra,"Laltaki Road, Near Delhi Gate, Ahmednagar, NA, Ahmednagar, 414001",,private,Commerce,B.Com,aishe_41908
41858,"Ahmednagar Jilha Maratha Vidya Prasarak Samaj's New Law College, Ahmednagar 414001",Ahmednagar,Ahmadnagar,Maharashtra,"New Law College, Lal Taki Road, Ahmednagar, 414001",,private,Law,LLB,aishe_41858
